"SiteID","RoomID","ApplianceID","TV_Screen_Type","TV_Screen_Type_Other","Make","Make_Other","Model","Vintage","Energy_Star","Primary","TV_Screen_Surface","TV_Resolution","Size","Size_Is_Estimated","Wattage","Wattage_Is_Estimated","TV_Wifi","TV_Qty_of_Streaming_Devices","TV_Qty_of_External_Media_Devices","STB_Present","DVR_Present","Room_Type"
"SITE_1","ROOM_6753","APPL_156797","LCD – Fluorescent",NA,"Samsung",NA,"UN55B8000FXZA","2009","Yes","Used less","Flat","FHD (1080p)","55","Measured or Known","280","Measured or Known","Unknown","0","0","No","No","Bedroom"
"SITE_1","ROOM_20582","APPL_48589","LCD – Fluorescent",NA,"Vizio",NA,"E420VL","Unknown","Unknown","Secondary","Flat","FHD (1080p)","42","Measured or Known","Unknown","Unknown","Unknown","1","0","No","No","Bedroom"
"SITE_1","ROOM_14159","APPL_166255","Unknown",NA,"Samsung",NA,"UN50TU7000FXZA","Unknown","Unknown","Secondary","Flat","UHD (4080p) – 4K","50","Measured or Known","125","Measured or Known","Unknown","0","0","No","No","Bedroom"
"SITE_1","ROOM_44685","APPL_48828","Unknown",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","56","Unknown","Unknown","Unknown","Unknown","1","1","No","No","Family Room"
"SITE_10","ROOM_32539","APPL_60808","LCD – LED",NA,"Vizio",NA,"V505-G9","Unknown","Unknown","Primary","Flat","UHD (4080p) – 4K","50","Measured or Known","135","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_100","ROOM_39829","APPL_81083","LCD – LED",NA,"Vizio",NA,"E320VL","Unknown","Yes","Primary","Flat","High Definition (720p)","32","Measured or Known","Unknown","Unknown","No","0","1","No","No","Bedroom"
"SITE_100","ROOM_41134","APPL_41566","LCD – LED",NA,"Vizio",NA,"E371VA","Unknown","No","Unknown","Flat","FHD (1080p)","37","Measured or Known","Unknown","Unknown","No","1","0","No","No","Bedroom"
"SITE_100","ROOM_43521","APPL_93802","LCD – LED",NA,"HiSense",NA,"55R6095G5","2020","No","Unknown","Flat","UHD (4080p) – 4K","55","Measured or Known","Unknown","Unknown","Unknown","1","0","No","No","Living Room"
"SITE_1000","ROOM_39704","APPL_1576","LCD – Fluorescent",NA,"Sony",NA,"KDL-40V2500","2006","Unknown","Secondary","Flat","High Definition (720p)","40","Measured or Known","200","Measured or Known","No","0","0","Yes","No","Bedroom"
"SITE_1000","ROOM_14413","APPL_170393","Unknown",NA,"Sony",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","65","Measured or Known","Unknown","Unknown","Unknown","0","1","Yes","No","Living Room"
"SITE_1001","ROOM_5711","APPL_17340","LCD – LED",NA,"Toshiba",NA,"32LF221U21","2021","No","Secondary","Flat","FHD (1080p)","32","Measured or Known","50","Estimated","Yes","0","0","No","No","Garage"
"SITE_1001","ROOM_13091","APPL_118650","LCD – LED",NA,"Panasonic",NA,"TC-37LZ85","Unknown","Yes","Secondary","Flat","High Definition (720p)","37","Measured or Known","140","Estimated","Yes","1","0","No","No","Living Room"
"SITE_1001","ROOM_37556","APPL_87331","Plasma",NA,"Pioneer",NA,"PDP-5071PU","2007","No","Primary","Flat","High Definition (720p)","50","Measured or Known","351","Measured or Known","Yes","1","2","Yes","No","Family Room"
"SITE_1002","ROOM_15852","APPL_118258","LCD – Fluorescent",NA,"LG",NA,"Unknown","Unknown","No","Primary","Flat","FHD (1080p)","46","Estimated","Unknown","Unknown","No","1","1","Yes","No","Living Room"
"SITE_1003","ROOM_31860","APPL_8730","LCD – LED",NA,"Elite",NA,"Unknown","Unknown","Unknown","Unknown","Flat","Unknown","72","Measured or Known","350","Estimated","Unknown","0","0","No","No","Family Room"
"SITE_1003","ROOM_43906","APPL_109162","LCD – LED",NA,"Elite",NA,"Unknown","Unknown","Unknown","Secondary","Flat","Unknown","60","Measured or Known","280","Estimated","Unknown","1","0","No","No","Bedroom"
"SITE_1003","ROOM_4816","APPL_54551","LCD – LED",NA,"Elite",NA,"PRO-70X5FD","Unknown","Unknown","Primary","Flat","Unknown","70","Measured or Known","380","Estimated","Yes","1","0","No","No","Living Room"
"SITE_1003","ROOM_46422","APPL_89428","Plasma",NA,"Samsung",NA,"PN21E230A3FXZA","2015","Unknown","Used less","Flat","Unknown","27","Measured or Known","150","Measured or Known","Unknown","1","0","No","No","Other"
"SITE_1003","ROOM_23950","APPL_77371","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Used less","Flat","Unknown","48","Unknown","150","Estimated","Unknown","1","0","No","No","Bedroom"
"SITE_1003","ROOM_16109","APPL_50896","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Used less","Flat","Unknown","48","Measured or Known","150","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1003","ROOM_20068","APPL_67536","LCD – LED",NA,"Elite",NA,"Unknown","Unknown","Unknown","Used less","Flat","Unknown","50","Measured or Known","300","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1004","ROOM_9380","APPL_65406","Unknown",NA,"Samsung",NA,"UN50J5000AFXZA","2015","No","Secondary","Flat","FHD (1080p)","50","Measured or Known","125","Measured or Known","Unknown","0","0","Yes","No","Living Room"
"SITE_1004","ROOM_16710","APPL_82498","LCD – LED",NA,"Samsung",NA,"UN50EH5300FXZA","2013","No","Primary","Flat","FHD (1080p)","50","Measured or Known","121","Measured or Known","Unknown","0","1","No","No","Living Room"
"SITE_1005","ROOM_45688","APPL_63121","LCD – LED",NA,"LG",NA,"OLED65CXAUA","2020","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","130","Measured or Known","Yes","0","1","No","No","Family Room"
"SITE_1006","ROOM_31291","APPL_131546","LCD – LED",NA,"Samsung",NA,"UN55RU7100FXZA","2019","Unknown","Primary","Flat","UHD (4080p) – 4K","55","Measured or Known","135","Measured or Known","Yes","0","0","No","No","Dining Room"
"SITE_1006","ROOM_30030","APPL_66426","LCD – LED",NA,"Samsung",NA,"UN65TU700DFXZA","2020","Unknown","All used about the same","Flat","UHD (4080p) – 4K","65","Measured or Known","190","Measured or Known","Yes","1","0","No","No","Living Room"
"SITE_1007","ROOM_9972","APPL_119023","LCD – LED",NA,"Samsung",NA,"UNSETU700DF","2020","No","Primary","Flat","Unknown","55","Measured or Known","140","Measured or Known","Yes","0","1","Yes","No","Living Room"
"SITE_1007","ROOM_38406","APPL_24429","LCD – Fluorescent",NA,"Sony",NA,"KDL-32SL130","Unknown","No","Secondary","Flat","Unknown","32","Measured or Known","Unknown","Unknown","No","0","0","Yes","No","Bedroom"
"SITE_1007","ROOM_6444","APPL_62015","LCD – LED",NA,"Sony",NA,"KD-65X75CH","Unknown","No","Primary","Flat","Unknown","65","Measured or Known","Unknown","Unknown","Yes","0","1","Yes","No","Family Room"
"SITE_1007","ROOM_20155","APPL_115966","Tube (CRT and internal or rear projector)",NA,"Sharp",NA,"Unknown","Unknown","No","Secondary","Flat","Unknown","25","Measured or Known","Unknown","Unknown","No","0","0","No","No","Basement"
"SITE_1008","ROOM_34874","APPL_65262","LCD – LED",NA,"Toshiba",NA,"50LF621U19","2018","No","Secondary","Flat","UHD (4080p) – 4K","50","Measured or Known","Unknown","Unknown","Yes","0","1","No","No","Family Room"
"SITE_1008","ROOM_37983","APPL_751","LCD – LED",NA,"HiSense",NA,"75A6G","2021","No","Primary","Flat","UHD (4080p) – 4K","75","Measured or Known","240","Measured or Known","Yes","0","1","No","No","Living Room"
"SITE_1009","ROOM_40471","APPL_86537","Plasma",NA,"Panasonic",NA,"TC-50PX24","2010","Yes","Primary","Flat","High Definition (720p)","50","Measured or Known","299","Measured or Known","No","0","0","Yes","No","Living Room"
"SITE_101","ROOM_43337","APPL_65325","LCD – LED",NA,"Samsung",NA,"UN55MU6290FXZA","2017","No","Primary","Flat","FHD (1080p)","55","Measured or Known","190","Measured or Known","Yes","0","0","No","No","Family Room"
"SITE_1010","ROOM_19249","APPL_137750","LCD – Fluorescent",NA,"Sony",NA,"KDL-40 EX400","2010","Yes","Primary","Flat","FHD (1080p)","40","Measured or Known","170","Measured or Known","No","0","1","No","No","Living Room"
"SITE_1011","ROOM_20532","APPL_47268","LCD – LED",NA,"LG",NA,"47LS4600-UA","2012","No","Primary","Flat","FHD (1080p)","47","Measured or Known","175","Estimated","Yes","1","0","Yes","No","Living Room"
"SITE_1011","ROOM_23355","APPL_27837","LCD – LED",NA,"Samsung",NA,"LN40A550P3F","2008","No","Secondary","Flat","FHD (1080p)","40","Measured or Known","200","Measured or Known","No","1","0","Yes","No","Bedroom"
"SITE_1012","ROOM_28927","APPL_80335","LCD – LED",NA,"Samsung",NA,"T24H310SND","2017","No","Secondary","Flat","Unknown","24","Measured or Known","36","Measured or Known","Unknown","0","0","No","No","Bedroom"
"SITE_1012","ROOM_23330","APPL_84130","LCD – LED",NA,"Samsung",NA,"UN43MU630DF","2017","No","Primary","Flat","UHD (4080p) – 4K","43","Measured or Known","48","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1013","ROOM_19029","APPL_129551","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Primary","Flat","Unknown","50","Estimated","Unknown","Unknown","Yes","0","0","Yes","No","Living Room"
"SITE_1014","ROOM_27296","APPL_158501","LCD – LED",NA,"Sony",NA,"KDL-46W4100","2008","Yes","Primary","Flat","FHD (1080p)","46","Measured or Known","275","Measured or Known","No","1","1","No","No","Living Room"
"SITE_1015","ROOM_28053","APPL_37514","LCD – LED",NA,"Samsung",NA,"UN50TU7000FXZA","2020","No","Primary","Flat","UHD (4080p) – 4K","50","Measured or Known","185","Estimated","Yes","1","1","Yes","No","Living Room"
"SITE_1017","ROOM_2309","APPL_49009","OLED",NA,"LG",NA,"OLED65C1AUB","2022","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","467","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1017","ROOM_1365","APPL_54606","LCD – LED",NA,"LG",NA,"65UP7560AUD","2021","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","195","Measured or Known","Yes","0","0","No","No","Bedroom"
"SITE_1017","ROOM_2058","APPL_167739","OLED",NA,"LG",NA,"OLED77C1AUB","2022","No","Secondary","Flat","UHD (4080p) – 4K","77","Measured or Known","Unknown","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1018","ROOM_3755","APPL_158929","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","40","Estimated","Unknown","Unknown","Yes","0","0","No","No","Living Room"
"SITE_1019","ROOM_34004","APPL_39808","LCD – LED",NA,"Vizio",NA,"#E65-E0","Unknown","No","Primary","Flat","FHD (1080p)","65","Measured or Known","170","Estimated","No","1","0","No","No","Bedroom"
"SITE_1019","ROOM_42091","APPL_64196","LCD – LED",NA,"Vizio",NA,"#E65-E0","Unknown","No","Primary","Flat","FHD (1080p)","65","Measured or Known","155","Measured or Known","No","1","0","No","No","Bathroom"
"SITE_1019","ROOM_17982","APPL_136568","LCD – LED",NA,"Vizio",NA,"M60-D1","Unknown","No","Secondary","Flat","FHD (1080p)","60","Measured or Known","180","Estimated","No","1","Unknown","Yes","No","Living Room"
"SITE_1020","ROOM_25029","APPL_156963","LCD – LED",NA,"Vizio",NA,"E601I-A3","Unknown","No","Primary","Flat","Unknown","60","Measured or Known","Unknown","Unknown","Yes","0","1","No","No","Living Room"
"SITE_1020","ROOM_40426","APPL_115202","LCD – LED",NA,"TCL",NA,"ROKUTV","Unknown","Unknown","Secondary","Flat","Unknown","46","Measured or Known","Unknown","Unknown","Yes","0","0","No","No","Bedroom"
"SITE_1021","ROOM_41289","APPL_161976","LCD – LED",NA,"Vizio",NA,"M260VA","Unknown","No","Secondary","Flat","Unknown","26","Measured or Known","Unknown","Unknown","No","1","0","Yes","No","Kitchen"
"SITE_1021","ROOM_45478","APPL_26320","LCD – LED",NA,"Vizio",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","55","Estimated","Unknown","Unknown","No","1","1","Yes","No","Living Room"
"SITE_1021","ROOM_36567","APPL_52924","LCD – LED",NA,"Curtis Mathes",NA,"LED2400A","Unknown","No","Used less","Flat","Unknown","24","Measured or Known","45","Measured or Known","No","0","0","No","No","Bedroom"
"SITE_1022","ROOM_34931","APPL_59612","LCD – LED",NA,"Sony",NA,"XBR65X850D","Unknown","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","Unknown","Unknown","Yes","0","2","Yes","No","Living Room"
"SITE_1022","ROOM_42561","APPL_73219","LCD – LED",NA,"Samsung",NA,"UN22F5000AF","2013","No","Secondary","Flat","FHD (1080p)","22","Measured or Known","35","Measured or Known","No","0","0","No","No","Bedroom"
"SITE_1023","ROOM_20433","APPL_33212","LCD – LED",NA,"LG",NA,"65NAN091ANA","2020","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","220","Measured or Known","Yes","1","0","No","No","Living Room"
"SITE_1024","ROOM_8232","APPL_64668","LCD – LED",NA,"Mitsubishi",NA,"Unknown","Unknown","No","Primary","Flat","Unknown","44","Measured or Known","Unknown","Unknown","No","1","1","No","No","Living Room"
"SITE_1024","ROOM_10251","APPL_8696","LCD – LED",NA,"LG",NA,"32LN530B","2013","No","Secondary","Flat","FHD (1080p)","32","Measured or Known","100","Estimated","No","0","0","No","No","Bedroom"
"SITE_1025","ROOM_38061","APPL_110859","LCD – Fluorescent",NA,"Sony",NA,"KDL-32 XBR6","Unknown","Yes","Used less","Flat","Unknown","32","Measured or Known","160","Measured or Known","No","0","0","No","No","Bedroom"
"SITE_1025","ROOM_24732","APPL_93269","LCD – Fluorescent",NA,"Sony",NA,"KDL-46VL130","Unknown","Yes","Used less","Flat","Unknown","46","Measured or Known","260","Measured or Known","No","1","0","No","No","Bedroom"
"SITE_1025","ROOM_43378","APPL_151495","OLED",NA,"LG",NA,"OLED55B8PUA","2018","No","Primary","Flat","UHD (4080p) – 4K","55","Measured or Known","353","Measured or Known","Yes","0","1","No","No","Bedroom"
"SITE_1025","ROOM_23312","APPL_104858","LCD – LED",NA,"Other","Amazon Fire TV","AMZ K24NE5 4K65M600A","Unknown","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","Unknown","Unknown","Yes","0","1","Yes","No","Living Room"
"SITE_1026","ROOM_6545","APPL_54166","QLED",NA,"TCL",NA,"65R625","Unknown","No","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","280","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1026","ROOM_30308","APPL_86462","LCD – LED",NA,"Vizio",NA,"M50-C1","Unknown","No","Secondary","Flat","UHD (4080p) – 4K","50","Measured or Known","Unknown","Unknown","Unknown","0","0","No","No","Bedroom"
"SITE_1026","ROOM_11236","APPL_104454","LCD – Fluorescent",NA,"Element",NA,"ELCHW402","2010","No","Used less","Flat","FHD (1080p)","40","Measured or Known","185","Measured or Known","Unknown","0","0","No","No","Garage"
"SITE_1026","ROOM_15248","APPL_92712","LCD – Fluorescent",NA,"Sony",NA,"KDL-32BX300","2010","Yes","Used less","Flat","High Definition (720p)","32","Measured or Known","134","Measured or Known","Unknown","1","0","No","No","Bedroom"
"SITE_1027","ROOM_25549","APPL_151822","LCD – Fluorescent",NA,"Toshiba",NA,"40E220U","Unknown","No","Primary","Flat","Unknown","40","Measured or Known","Unknown","Unknown","No","1","2","No","No","Living Room"
"SITE_1028","ROOM_43990","APPL_72897","LCD – LED",NA,"LG",NA,"55UN6950ZUA","Unknown","No","Primary","Flat","FHD (1080p)","55","Measured or Known","165","Estimated","Yes","0","1","No","No","Living Room"
"SITE_1028","ROOM_31178","APPL_127553","LCD – LED",NA,"Vizio",NA,"V405-G9","Unknown","No","Secondary","Flat","FHD (1080p)","40","Measured or Known","135","Estimated","Yes","0","0","No","No","Bedroom"
"SITE_1028","ROOM_3528","APPL_42887","LCD – LED",NA,"TCL",NA,"32S305TEAA","2017","No","All used about the same","Flat","FHD (1080p)","32","Measured or Known","115","Estimated","Yes","0","0","No","No","Bedroom"
"SITE_1028","ROOM_35459","APPL_94251","LCD – LED",NA,"Vizio",NA,"V405-G9","Unknown","No","All used about the same","Flat","FHD (1080p)","40","Measured or Known","145","Estimated","Yes","0","0","No","No","Bedroom"
"SITE_1028","ROOM_27545","APPL_20990","LCD – LED",NA,"LG",NA,"Unknown","Unknown","No","All used about the same","Flat","UHD (4080p) – 4K","50","Measured or Known","175","Estimated","Yes","0","0","No","No","Bedroom"
"SITE_1028","ROOM_7492","APPL_35742","LCD – LED",NA,"Insignia",NA,"NS-39D310NA19","2018","No","All used about the same","Flat","FHD (1080p)","39","Measured or Known","145","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1029","ROOM_10718","APPL_152987","LCD – LED",NA,"LG",NA,"37CS560","2012","No","Secondary","Flat","FHD (1080p)","37","Measured or Known","Unknown","Unknown","No","0","1","Yes","No","Bedroom"
"SITE_1029","ROOM_6928","APPL_166130","LCD – LED",NA,"Samsung",NA,"UN55TU7000F","2020","No","Primary","Flat","UHD (4080p) – 4K","55","Measured or Known","140","Measured or Known","Yes","0","0","Yes","No","Living Room"
"SITE_1030","ROOM_38623","APPL_155409","LCD – Fluorescent",NA,"Samsung",NA,"LN40B630N1F","2009","No","Primary","Flat","High Definition (720p)","40","Measured or Known","200","Measured or Known","No","1","0","Yes","No","Living Room"
"SITE_1030","ROOM_44665","APPL_6403","LCD – Fluorescent",NA,"Samsung",NA,"LN22B380050","2009","No","Secondary","Flat","High Definition (720p)","22","Measured or Known","45","Measured or Known","No","0","0","Yes","No","Bedroom"
"SITE_1032","ROOM_11630","APPL_55965","LCD – LED",NA,"Toshiba",NA,"46L5200U1","2012","No","Primary","Flat","FHD (1080p)","46","Measured or Known","Unknown","Unknown","No","1","1","No","No","Living Room"
"SITE_1033","ROOM_28195","APPL_95782","Unknown",NA,"TCL",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","65","Estimated","Unknown","Unknown","Unknown","0","1","No","No","Living Room"
"SITE_1033","ROOM_12757","APPL_61337","LCD – Fluorescent",NA,"Toshiba",NA,"46G300U3","Unknown","No","Used less","Flat","FHD (1080p)","46","Measured or Known","Unknown","Unknown","No","0","1","No","No","Basement"
"SITE_1033","ROOM_42","APPL_155027","LCD – LED",NA,"Sony",NA,"KDL-46HX800","Unknown","Yes","Secondary","Flat","FHD (1080p)","46","Measured or Known","149","Measured or Known","Yes","0","1","No","No","Bedroom"
"SITE_1034","ROOM_8259","APPL_32504","LCD – LED",NA,"Samsung",NA,"UN50NU710DF","Unknown","Yes","Primary","Flat","UHD (4080p) – 4K","50","Measured or Known","135","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1035","ROOM_11173","APPL_123924","LCD – Fluorescent",NA,"Samsung",NA,"LN-T375HA W","Unknown","No","Secondary","Flat","Unknown","37","Measured or Known","Unknown","Unknown","No","1","0","No","No","Bedroom"
"SITE_1035","ROOM_14407","APPL_99944","LCD – LED",NA,"TCL",NA,"65S425","Unknown","Unknown","Primary","Flat","Unknown","65","Measured or Known","145","Measured or Known","Yes","1","1","No","No","Family Room"
"SITE_1035","ROOM_27710","APPL_137253","LCD – LED",NA,"TCL",NA,"#438426","Unknown","No","Primary","Flat","Unknown","43","Measured or Known","Unknown","Unknown","Yes","1","0","No","No","Bedroom"
"SITE_1036","ROOM_8344","APPL_22366","Unknown",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","54","Measured or Known","100","Estimated","Unknown","0","0","No","No","Living Room"
"SITE_1037","ROOM_22687","APPL_23118","LCD – LED",NA,"Samsung",NA,"UN50H6201AF","2014","Yes","Secondary","Flat","FHD (1080p)","50","Measured or Known","54","Measured or Known","Yes","0","1","No","No","Bedroom"
"SITE_1037","ROOM_30560","APPL_47807","LCD – LED",NA,"TCL",NA,"55S525","Unknown","Unknown","Primary","Flat","UHD (4080p) – 4K","55","Measured or Known","130","Measured or Known","Yes","0","0","Yes","No","Living Room"
"SITE_1038","ROOM_18560","APPL_122127","LCD – LED",NA,"Vizio",NA,"V505-H19","Unknown","Unknown","Primary","Flat","FHD (1080p)","52","Estimated","150","Estimated","Yes","0","1","No","No","Living Room"
"SITE_1038","ROOM_38879","APPL_36730","LCD – LED",NA,"Vizio",NA,"VL420M","Unknown","Unknown","Secondary","Flat","FHD (1080p)","42","Measured or Known","150","Estimated","Yes","1","3","No","No","Family Room"
"SITE_1038","ROOM_31422","APPL_99695","LCD – LED",NA,"Orion",NA,"SLED2468W","2012","No","Used less","Flat","High Definition (720p)","24","Measured or Known","37","Measured or Known","Unknown","0","0","No","No","Bedroom"
"SITE_1038","ROOM_5374","APPL_117271","LCD – LED",NA,"Vizio",NA,"VX20L HDTV","2006","No","Used less","Flat","High Definition (720p)","20","Measured or Known","189","Estimated","No","0","0","No","No","Bedroom"
"SITE_1038","ROOM_42048","APPL_42013","LCD – LED",NA,"Vizio",NA,"D32F-F1","Unknown","No","Secondary","Flat","High Definition (720p)","32","Measured or Known","87","Estimated","Yes","0","2","Yes","No","Bedroom"
"SITE_1039","ROOM_618","APPL_125814","Unknown",NA,"Samsung",NA,"UN55ESW6100F","Unknown","Unknown","Primary","Flat","Unknown","55","Unknown","53","Unknown","Unknown","1","1","Yes","No","Living Room"
"SITE_1039","ROOM_28848","APPL_11012","Unknown",NA,"Samsung",NA,"LN40C630K1FXZA","Unknown","Unknown","Secondary","Flat","Unknown","40","Measured or Known","190","Measured or Known","Unknown","1","1","No","No","Bedroom"
"SITE_104","ROOM_36094","APPL_46300","LCD – LED",NA,"Samsung",NA,"UN40J520DAF","2016","Unknown","Primary","Flat","FHD (1080p)","40","Measured or Known","35","Measured or Known","Unknown","0","0","No","No","Living Room"
"SITE_1040","ROOM_18064","APPL_88461","LCD – LED",NA,"RCA",NA,"LED40G45RQ","2015","Unknown","Primary","Flat","Unknown","40","Measured or Known","Unknown","Unknown","Yes","0","1","Yes","No","Bedroom"
"SITE_1040","ROOM_9184","APPL_35192","LCD – Fluorescent",NA,"Samsung",NA,"Unknown","Unknown","No","Primary","Flat","Unknown","32","Estimated","Unknown","Unknown","No","0","1","Yes","No","Living Room"
"SITE_1041","ROOM_39588","APPL_6472","LCD – LED",NA,"Vizio",NA,"V655-H19","2021","No","Secondary","Flat","UHD (4080p) – 4K","65","Measured or Known","165","Estimated","Yes","0","1","Yes","No","Living Room"
"SITE_1041","ROOM_15817","APPL_61346","LCD – LED",NA,"Element",NA,"ELEFW408","Unknown","No","Primary","Flat","FHD (1080p)","40","Measured or Known","75","Measured or Known","No","0","1","Yes","No","Living Room"
"SITE_1042","ROOM_2521","APPL_101252","LCD – LED",NA,"Samsung",NA,"UN40MU6290F","2017","No","Primary","Flat","UHD (4080p) – 4K","40","Measured or Known","115","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1043","ROOM_35869","APPL_101331","LCD – LED",NA,"Sony",NA,"XR-55X90J","2021","No","Secondary","Flat","UHD (4080p) – 4K","55","Measured or Known","197","Measured or Known","Yes","0","0","Yes","No","Living Room"
"SITE_1043","ROOM_14958","APPL_23399","LCD – LED",NA,"Vizio",NA,"E500I-A1","Unknown","Yes","Used less","Flat","FHD (1080p)","50","Measured or Known","Unknown","Unknown","Yes","0","1","Yes","No","Bedroom"
"SITE_1043","ROOM_20225","APPL_36793","QLED",NA,"Samsung",NA,"UN32Q60AAF","2021","No","Primary","Flat","UHD (4080p) – 4K","32","Measured or Known","95","Measured or Known","Yes","0","0","Yes","No","Office"
"SITE_1044","ROOM_7496","APPL_116623","LCD – Fluorescent",NA,"Vizio",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","50","Estimated","Unknown","Unknown","No","1","1","No","No","Living Room"
"SITE_1044","ROOM_3030","APPL_117738","LCD – Fluorescent",NA,"Vizio",NA,"VO42LFHDTV10A","Unknown","No","Secondary","Flat","FHD (1080p)","42","Measured or Known","Unknown","Unknown","No","0","2","No","No","Family Room"
"SITE_1045","ROOM_9587","APPL_44822","LCD – Fluorescent",NA,"Sylvania",NA,"Unknown","Unknown","Yes","Primary","Flat","Unknown","32","Measured or Known","Unknown","Unknown","No","0","2","No","No","Living Room"
"SITE_1046","ROOM_2757","APPL_146683","LCD – LED",NA,"Element",NA,"ELEFW328","2017","Yes","Primary","Flat","High Definition (720p)","32","Measured or Known","50","Measured or Known","No","1","Unknown","No","No","Living Room"
"SITE_1046","ROOM_23593","APPL_5572","LCD – LED",NA,"Element",NA,"ELEFW328","2018","Yes","Secondary","Flat","Standard Definition","32","Measured or Known","50","Measured or Known","No","1","Unknown","No","No","Bedroom"
"SITE_1047","ROOM_35039","APPL_103139","LCD – LED",NA,"Vizio",NA,"E60-C3","Unknown","Yes","Primary","Flat","FHD (1080p)","60","Measured or Known","100","Estimated","Yes","0","2","Yes","No","Living Room"
"SITE_1048","ROOM_9709","APPL_47078","LCD – LED",NA,"LG",NA,"65UM6950DUB","2019","No","Secondary","Flat","UHD (4080p) – 4K","65","Measured or Known","185","Measured or Known","Yes","0","2","No","No","Family Room"
"SITE_1048","ROOM_17583","APPL_20120","Plasma",NA,"Samsung",NA,"PN50A400C2D","2008","Unknown","Used less","Flat","Unknown","50","Measured or Known","470","Measured or Known","Unknown","0","0","No","No","Living Room"
"SITE_1048","ROOM_17583","APPL_147251","LCD – LED",NA,"LG",NA,"49UK6200PUA","2018","No","Used less","Flat","UHD (4080p) – 4K","49","Measured or Known","120","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1048","ROOM_8869","APPL_22834","LCD – LED",NA,"Sharp",NA,"LC-43N6100U","2016","No","Primary","Flat","UHD (4080p) – 4K","43","Measured or Known","110","Measured or Known","Yes","0","0","No","No","Bedroom"
"SITE_1049","ROOM_38376","APPL_102350","LCD – LED",NA,"Vizio",NA,"Unknown","Unknown","Unknown","Primary","Flat","FHD (1080p)","52","Measured or Known","120","Estimated","Yes","0","3","No","No","Family Room"
"SITE_1049","ROOM_32545","APPL_47998","Unknown",NA,"Mitsubishi",NA,"Unknown","Unknown","No","Secondary","Flat","FHD (1080p)","47","Measured or Known","180","Estimated","No","0","1","No","No","Bedroom"
"SITE_1049","ROOM_6123","APPL_42996","LCD – LED",NA,"Proscan",NA,"PLED2488A","2013","No","Used less","Flat","FHD (1080p)","24","Measured or Known","48","Measured or Known","Unknown","0","0","No","No","Bedroom"
"SITE_105","ROOM_38736","APPL_87961","LCD – Fluorescent",NA,"Toshiba",NA,"57LX177","Unknown","No","Primary","Flat","FHD (1080p)","57","Measured or Known","352","Measured or Known","No","1","1","No","No","Family Room"
"SITE_105","ROOM_46686","APPL_56077","LCD – Fluorescent",NA,"Insignia",NA,"NS-39DR510NA17","Unknown","No","Secondary","Flat","FHD (1080p)","39","Measured or Known","70","Measured or Known","No","Unknown","Unknown","No","No","Bedroom"
"SITE_105","ROOM_27380","APPL_30533","LCD – LED",NA,"Samsung",NA,"UN32EH4003F","Unknown","No","Used less","Flat","High Definition (720p)","32","Measured or Known","28","Measured or Known","No","1","Unknown","No","No","Bedroom"
"SITE_1050","ROOM_7369","APPL_34189","QLED",NA,"Samsung",NA,"QN85QBORAF","2019","No","Primary","Flat","Unknown","65","Measured or Known","80","Measured or Known","Yes","0","1","Yes","No","Living Room"
"SITE_1051","ROOM_17808","APPL_145764","Unknown",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Living Room"
"SITE_1052","ROOM_20232","APPL_155052","OLED",NA,"LG",NA,"OLED55C9AUA","2019","No","Primary","Flat","UHD (4080p) – 4K","55","Measured or Known","357","Measured or Known","Yes","1","1","Yes","No","Living Room"
