CK_SiteID,Building Size,Region,County,City,State,Zip,Zip_notes,Heating Zone,Heating Zone_notes,Cooling Zone,Cooling Zone_notes,Electric Utility,Gas Utility,BPA Utility,Strata Territory,Strata Population Estimate,Strata Population Estimate_notes,Site Case Weight,Site Case Weight_Notes,Site Visit Date,Site Visit Date_notes,Vintage,Vintage_notes,N Floors,N Floors_notes,In MF Complex,Qty Buildings in Complex,Qty Buildings in Complex_notes,Qty Studio Units,Qty Studio Units_notes,Qty One-Bedroom Units,Qty One-Bedroom Units_notes,Qty Two-Bedroom Units,Qty Two-Bedroom Units_notes,Qty Three-Bedroom Units,Qty Three-Bedroom Units_notes,Qty Four-Bedroom Units,Qty Four-Bedroom Units_notes,Total Units in Building,Total Units in Building_notes,Limited to 55 or Older,Limited to Low Income,Construction,Framing Type,Foundation Type,Commercial Space in Building,Parking Provided,Parking Lot,Covered Lot,Open Garage,Enclosed Garage,Parking Area Directly Illuminated,Parking Area (sq ft),Parking Area (sq ft)_notes,Parking Stalls,Parking Stalls_notes,Parking Reserved for Commercial,Parking Reserved for Commercial_notes,Parking Notes,Interior Building Common Areas,Elevator Qty,Elevator Qty_notes,Pool Type,Pool Cover,Pool Solar Assist,Pool Location,Pool Heating Fuel,Pool Availability (months),Pool Availability (months)_notes,Qty Residential Floors,Qty Residential Floors_notes,Qty Non-Residential Floors,Qty Non-Residential Floors_notes,Qty Parking Floors,Qty Parking Floors_notes,Qty Storage/Mechanical Floors,Qty Storage/Mechanical Floors_notes,Residential Area (sq ft),Residential Area (sq ft)_notes,Interior Common Area (sq ft),Interior Common Area (sq ft)_notes,Total Enclosed Area (sq ft),Total Enclosed Area (sq ft)_notes,Commercial Area (sq ft),Commercial Area (sq ft)_notes,Grocery Area (sq ft),Grocery Area (sq ft)_notes,Office Area (sq ft),Office Area (sq ft)_notes,Retail Area (sq ft),Retail Area (sq ft)_notes,Other Commercial Area (sq ft),Other Commercial Area (sq ft)_notes,Vacant Area (sq ft),Vacant Area (sq ft)_notes,Total Ceiling Area,Total Ceiling Area_notes,Total Ceiling U-Value,Total Ceiling U-Value_notes,Ceiling UA,Ceiling UA-Notes,Total Wall Area,Total Wall Area_notes,Total Wall U-Value,Total Wall U-Value_notes,Wall UA,Wall UA_notes,Total Floor Area,Total Floor Area_notes,Total Floor U-Value,Total Floor U-Value_notes,Floor UA,Floor UA_notes,Total Window Area,Total Window Area_notes,Window UA,Window UA_notes,Whole House UA,Whole House UA_notes,Area of Conditioned Common Space,Area of Conditioned Common Space_notes,Total Residential Floor Area,Total Residential Floor Area_notes,Total Non-Residential Floor Area,Total Non-Residential Floor Area_notes,Total Conditioned Area,Total Conditioned Area_notes,Primary Heating System,Primary Heating Fuel,Primary Cooling System,Central Building Heat,Common Area Primary Heating System,Common Area Primary Heating Fuel,Common Area Primary Cooling System,Annual Residential Electric Usage (kWh),Annual Residential Electric Usage (kWh)_notes,Annual Non-Residential Electric Usage (kWh),Annual Non-Residential Electric Usage (kWh)_notes,Annual Electric Usage (kWh),Annual Electric Usage (kWh)_notes,Annual Residential Gas Usage (Therms),Annual Residential Gas Usage (Therms)_notes,Annual Non-Residential Gas Usage (Therms),Annual Non-Residential Gas Usage (Therms)_notes,Annual Gas Usage (Therms),Annual Gas Usage (Therms)_notes,Annual Residential Electric Usage (kBtu),Annual Residential Electric Usage (kBtu)_notes,Annual Non-Residential Electric Usage (kBtu),Annual Non-Residential Electric Usage (kBtu)_notes,Annual Electric Usage (kBtu),Annual Electric Usage (kBtu)_notes,Annual Residential Gas Usage (kBtu),Annual Residential Gas Usage (kBtu)_notes,Annual Non-Residential Gas Usage (kBtu),Annual Non-Residential Gas Usage (kBtu)_notes,Annual Gas Usage (kBtu),Annual Gas Usage (kBtu)_notes
BLDG_00001,Apartment Building (3 or fewer floors),Western Oregon,"Lane, OR",EUGENE,OR,97402,,1,,1,,Eugene Water and Electric Board,,Y,BPA,2791,,47.3,,9/5/2017 0:00,,1969,,2,,Yes,3,,0,,20,,0,,0,,0,,20,,No,No,Frame over concrete slab,Wood,> 90% Slab,No,Yes,Yes,No,No,No,NA,2400,,20,,0,,NA,No,0,,N/A,NA,NA,NA,NA,,NA,2,,0,,0,,0,,9800,,,NA,9800,,,NA,,NA,,NA,,NA,,NA,,NA,4900,,0.0657,,321.9,,4768,,,Exclude,,Exclude,4900,,0.0444,,217.5,,817.2,,18,,,Exclude,0,,9800,,0,,9800,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,4938.5,,,N/A,98770.9,,,N/A,,N/A,,N/A,16850.3,,,N/A,337006.2,,,N/A,,N/A,,N/A
BLDG_00002,Apartment Building (3 or fewer floors),Puget Sound,"Snohomish, WA",EDMONDS,WA,98026,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,7/12/2017 0:00,,1970,,3,,No,1,,0,,20,,20,,0,,0,,40,,No,No,Frame,Wood,> 90% Slab,No,Yes,Yes,No,No,No,NA,11880,,60,,0,,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,32530,,6395,,38925,,,NA,,NA,,NA,,NA,,NA,,NA,12975,,0.0253,,328.1,,20640,,0.0838,,1729.4,,12975,,0.0484,,627.8,,3657.8,,40.4,,4299.9,,6395,,32530,,0,,38925,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00003,Apartment Building (3 or fewer floors),Puget Sound,"Snohomish, WA",LYNNWOOD,WA,98036,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,2/10/2017 0:00,,1967,,3,,No,1,,0,,42,,0,,0,,0,,42,,No,No,Frame over concrete slab,Wood,> 90% Slab,No,Yes,Yes,No,No,No,NA,17766,,58,,0,,NA,Yes,0,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,34500,,3000,,37500,,,NA,,NA,,NA,,NA,,NA,,NA,12500,,0.0446,,558.1,,14400,,0.1466,,2111.4,,12500,,0.035,,438,,5639.7,,88,,6801.5,,3000,,34500,,0,,37500,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00004,Apartment Building (3 or fewer floors),Puget Sound,"Snohomish, WA",LYNNWOOD,WA,98037,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,2/9/2017 0:00,,1970,,2,,No,1,,0,,0,,8,,0,,0,,8,,Unknown,Unknown,Frame,Wood,> 90% Crawlspace,No,Yes,Yes,No,No,No,NA,,NA,,NA,20,,NA,No,0,,Unknown,NA,NA,Outdoor,Unknown,,NA,2,,0,,0,,0,,7400,,,NA,7400,,,NA,,NA,,NA,,NA,,NA,,NA,3700,,0.0253,,93.6,,5508,,0.1173,,646.1,,3700,,0.0834,,308.5,,1106.3,,90.6,,1772.7,,0,,7400,,0,,7400,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00005,Apartment Building (3 or fewer floors),Puget Sound,"Snohomish, WA",LYNNWOOD,WA,98087,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,2/11/2017 0:00,,2001,,3,,Yes,8,,0,,4,,4,,0,,0,,8,,No,No,Frame over concrete slab,Wood,> 90% Slab,No,Yes,Yes,Yes,No,Yes,NA,4550,,14,,0,,NA,No,0,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,7816,,,NA,7816,,,NA,,NA,,NA,,NA,,NA,,NA,2968,,0.026,,77.2,,7020,,0.0952,,668.6,,2968,,0.0748,,221.9,,1052.9,,58.1,,1432.5,,0,,7816,,0,,7816,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00006,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98101,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/10/2017 0:00,,1993,,5.5,,No,1,,39,,35,,14,,12,,0,,100,,No,Yes,Rigid frame (concrete or steel),Steel,Other,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Unknown,1,,N/A,NA,NA,NA,NA,,NA,5,,0,,0.5,,0,,60234,,29891,,90125,,,NA,,NA,,NA,,NA,,NA,,NA,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,5661.1,,25,,,Exclude,0,,90125,,29891,,60234,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,4793.2,,,N/A,479317,,,N/A,,N/A,,N/A,16354.3,,,N/A,1635429.5,,,N/A,,N/A,,N/A
BLDG_00007,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98101,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/13/2017 0:00,,1980,,5,,No,1,,47,,0,,0,,0,,0,,47,,No,Yes,Solid masonry,Concrete,> 90% Slab,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,4,,1,,0,,0,,21660,,600,,22980,,720,,0,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,2562.8,,24.1,,,Exclude,600,,21660,,720,,22980,,Boiler,Unknown,N/A,N/A,N/A,N/A,N/A,2302.4,,,N/A,108211.7,,,N/A,,N/A,,N/A,7855.7,,,N/A,369218.4,,,N/A,,N/A,,N/A
BLDG_00008,Apartment Building (More than 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98101,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/9/2017 0:00,,1970,,21,,No,1,,0,,22,,30,,13,,0,,65,,No,No,Rigid frame (concrete or steel),Concrete,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,N/A,NA,NA,NA,NA,,NA,18,,1,,4,,1,,72430,,7596,,84026,,2000,,2000,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,17086,,172.2,,,Exclude,7596,,72430,,4000,,84026,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,11118.8,,,N/A,722719.6,,320.9,,,N/A,20861.2,,37937.2,,,N/A,2465919.1,,32094.1,,,N/A,2086119.1,
BLDG_00009,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98102,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/17/2017 0:00,,1924,,2,,No,1,,4,,6,,0,,0,,0,,10,,No,No,Frame,Wood,> 90% Unconditioned Basement,No,No,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,0,,N/A,NA,NA,NA,NA,,NA,2,,0,,0,,0.5,,4400,,683,,5083,,,NA,,NA,,NA,,NA,,NA,,NA,3669,,0.0446,,163.8,,13200,,0.1074,,1417.5,,3669,,0.0862,,316.3,,696.6,,59.4,,2492.1,,683,,4400,,0,,5083,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00010,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98103,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/9/2017 0:00,,1928,,3.5,,No,1,,0,,14,,0,,0,,0,,14,,No,No,Solid masonry,Masonry,> 90% Conditioned Basement,No,No,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,0,,N/A,NA,NA,NA,NA,,NA,4,,0,,0,,0.5,,7962,,1718,,9680,,,NA,,NA,,NA,,NA,,NA,,NA,2700,,0.0253,,68.3,,6577,,0.373,,2453.4,,2700,,0.104,,280.8,,1111.1,,35,,3293,,1718,,7962,,0,,9680,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,4830.6,,,N/A,67628,,64.3,,,N/A,899.8,,16481.9,,,N/A,230746.8,,6427,,,N/A,89978,
BLDG_00011,Apartment Building (More than 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98109,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,8/22/2017 0:00,,2011,,7,,No,1,,,Unknown,,Unknown,,Unknown,0,,0,,275,,No,Yes,Unknown,Unknown,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,4,,N/A,NA,NA,NA,NA,,NA,6,,1,,0,,0,,191168,,55244,,264033,,13706,,0,,0,,0,,0,,3915,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,26583.3,,42.7,,,Exclude,55244,,191168,,17621,,264033,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,3197.2,,,N/A,879230.4,,,N/A,,N/A,,N/A,10908.9,,,N/A,2999934.2,,,N/A,,N/A,,N/A
BLDG_00012,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98112,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/24/2017 0:00,,1967,,4,,Yes,19,,0,,0,,56,,0,,0,,56,,No,No,Frame,Wood,Other,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,3,,Pool - heated,No,No,Outdoor,Gas/oil,6,,4,,0,,1,,1,,59152.8,,2957.64,,62110.44,,0,,0,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,16839.4,,132.7,,,Exclude,2957.6,,59152.8,,0,,62110.4,,Mini-split HP,Electric,Mini-split HP,N/A,N/A,N/A,N/A,10665.4,,,N/A,597263.7,,,N/A,,N/A,,N/A,36390.4,,,N/A,2037863.9,,,N/A,,N/A,,N/A
BLDG_00013,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98115,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/8/2017 0:00,,1890,,4,,No,1,,0,,34,,5,,0,,0,,39,,Yes,Yes,Solid masonry,Masonry,> 90% Slab,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,3,,1,,0,,0,,22767,,9161,,31928,,,NA,,NA,,NA,,NA,,NA,,NA,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,7474.1,,84.6,,,Exclude,9161,,22767,,0,,31928,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,6669.4,,,N/A,260106.6,,,N/A,,N/A,,N/A,22756,,,N/A,887483.8,,,N/A,,N/A,,N/A
BLDG_00014,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98115,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/15/2017 0:00,,1979,,4,,No,1,,0,,84,,0,,0,,0,,84,,No,No,Frame,Wood,> 90% Unconditioned Basement,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,Pool - heated,Yes,No,Outdoor,Electric,6,,4,,1,,1,,0,,93568,,340,,93908,,,NA,,NA,,NA,,NA,,NA,,NA,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,6659.3,,47.1,,,Exclude,340,,93568,,0,,93908,,Electric Baseboard,Electric,Packaged AC,N/A,N/A,N/A,N/A,6849.4,,,N/A,575349.3,,111.5,,,N/A,9367.4,,23370.1,,,N/A,1963091.7,,11151.7,,,N/A,936739.7,
BLDG_00015,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98107,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/15/2017 0:00,,2014,,6,,No,1,,59,,186,,59,,0,,0,,304,,No,No,Rigid frame (concrete or steel),Unknown,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,4,,N/A,NA,NA,NA,NA,,NA,5.5,,0.5,,2,,0,,208000,,38800,,263600,,8400,,0,,0,,0,,4200,,4200,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,21526.5,,31.3,,,Exclude,38800,,208000,,16800,,263600,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,3201.9,,,N/A,973371.2,,,N/A,,N/A,,N/A,10924.8,,,N/A,3321142.6,,,N/A,,N/A,,N/A
BLDG_00016,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98118,,1,,1,,Puget Sound Energy,,N,PSE - King County,4651,,89.43,,2/10/2017 0:00,,2001,,3,,Yes,3,,0,,83,,1,,0,,0,,84,,Yes,Yes,Unknown,N/A,> 90% Conditioned Basement,No,Yes,Yes,No,No,No,NA,780,,10,,0,,Only measured spots for the audited  building section,Yes,3,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,50400,,12600,,63000,,,NA,,NA,,NA,,NA,,NA,,NA,21000,,0.0446,,937.5,,22950,,0.1074,,2464.6,,21000,,0.0355,,744.6,,3976,,20.9,,5901.8,,12600,,50400,,0,,63000,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,68.9,,,N/A,5787.1,,,N/A,,N/A,,N/A,6889.4,,,N/A,578707.5,
BLDG_00017,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98119,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/24/2017 0:00,,1996,,5,,No,1,,0,,0,,28,,0,,0,,28,,No,No,Unknown,Unknown,Unknown,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,Unknown,NA,NA,NA,NA,,NA,5,,0,,2,,,NA,20521.2,,1026.06,,21547.26,,0,,0,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,4179,,65.9,,,Exclude,1026.1,,20521.2,,0,,21547.3,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,6254.9,,,N/A,175138.1,,,N/A,,N/A,,N/A,21341.8,,,N/A,597571.3,,,N/A,,N/A,,N/A
BLDG_00018,Apartment Building (More than 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98121,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/16/2017 0:00,,1999,,13,,No,1,,,Unknown,,Unknown,,Unknown,0,,0,,206,,No,No,Unknown,Unknown,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,11.5,,1,,2.5,,0,,199600,,30400,,248400,,9200,,0,,4600,,4600,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,38746.4,,83,,,Exclude,30400,,199600,,18400,,248400,,Air Source Heat Pump,Electric,N/A,N/A,N/A,N/A,N/A,4188.8,,23090.9,,885989.2,,,N/A,,N/A,,N/A,14292.3,,78786.2,,3022995.2,,,N/A,,N/A,,N/A
BLDG_00019,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98125,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/9/2017 0:00,,2004,,6,,No,1,,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,53,,No,No,Rigid frame (concrete or steel),Concrete,Other,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,2,,N/A,NA,NA,NA,NA,,NA,6,,0,,1.66,,0.34,,36544,,3780,,40324,,,NA,,NA,,NA,,NA,,NA,,NA,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,1528.9,,12.7,,,Exclude,3780,,36544,,0,,40324,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,3853.6,,,N/A,204243.2,,,N/A,,N/A,,N/A,13148.6,,,N/A,696877.9,,,N/A,,N/A,,N/A
BLDG_00020,Apartment Building (3 or fewer floors),Puget Sound,"King, WA",SEATTLE,WA,98125,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,6/5/2017 0:00,,1965,,3,,No,1,,1,,22,,3,,0,,0,,26,,No,No,Solid masonry,Brick,> 90% Slab,No,Yes,Yes,No,No,No,NA,7380,,23,,0,,NA,Yes,0,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,17038,,374,,17412,,,NA,,NA,,NA,,NA,,NA,,NA,5804,,0.0446,,259.1,,10125,,0.0838,,848.3,,5804,,0.0566,,328.5,,2395.1,,113,,4373.9,,374,,17038,,0,,17412,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,6022,,,N/A,156572,,,N/A,,N/A,,N/A,20547.1,,,N/A,534223.6,,,N/A,,N/A,,N/A
BLDG_00021,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98125,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/10/2017 0:00,,1972,,5,,No,1,,0,,71,,0,,0,,0,,71,,No,Yes,Solid masonry,Masonry,> 90% Slab,No,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,5,,0,,0,,0,,40053,,9437,,49490,,,NA,,NA,,NA,,NA,,NA,,NA,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,3516.4,,21.9,,,Exclude,9437,,40053,,0,,49490,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,4032.8,,,N/A,286329.3,,,N/A,,N/A,,N/A,13759.9,,,N/A,976955.6,,,N/A,,N/A,,N/A
BLDG_00022,Apartment Building (3 or fewer floors),Puget Sound,"Snohomish, WA",LYNNWOOD,WA,98036,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,2/7/2017 0:00,,1979,,2,,No,1,,0,,0,,8,,0,,0,,8,,No,No,Frame over concrete slab,Wood,> 90% Slab,No,Yes,No,Yes,No,No,NA,2160,,12,,0,,NA,No,0,,N/A,NA,NA,NA,NA,,NA,2,,0,,0,,0,,7920,,,NA,7920,,,NA,,NA,,NA,,NA,,NA,,NA,3960,,0.0439,,173.7,,4896,,0.1074,,525.8,,3960,,0.0564,,223.4,,973.7,,53.7,,1352.7,,0,,7920,,0,,7920,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00023,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98133,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,7/10/2017 0:00,,2007,,3.5,,No,1,,0,,12,,8,,7,,0,,27,,No,No,Frame,Wood,> 90% Conditioned Basement,No,Yes,Yes,No,No,No,NA,3200,,40,,0,,NA,Yes,0,,N/A,NA,NA,NA,NA,,NA,4,,0,,0,,0,,23197,,2968,,26165,,,NA,,NA,,NA,,NA,,NA,,NA,7980,,0.0253,,201.8,,16488,,0.0671,,1106.2,,7980,,0.0326,,260,,1286.1,,21,,2135.7,,2968,,23197,,0,,26165,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,5316.2,,,N/A,143537.7,,,N/A,,N/A,,N/A,18138.9,,,N/A,489750.6,,,N/A,,N/A,,N/A
BLDG_00024,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98136,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,7/11/2017 0:00,,1998,,4,,No,1,,0,,24,,9,,0,,0,,33,,No,No,Frame over concrete slab,Wood,> 90% Slab,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,3,,1,,1,,0,,28371,,4115,,46606,,0,,0,,0,,5150,,8970,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,4743.1,,63.4,,,Exclude,4115,,28371,,14120,,46606,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,6561.4,,,N/A,216525.3,,50.9,,,N/A,1678.9,,22387.4,,,N/A,738784.4,,5087.6,,,N/A,167892.4,
BLDG_00025,Apartment Building (4 to 6 floors),Puget Sound,"King, WA",SEATTLE,WA,98104,,1,,1,,Seattle City Light,,Y,SCL,2633,,37.08,,2/11/2017 0:00,,2004,,4,,No,1,,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,50,,No,Yes,Rigid frame (concrete or steel),Concrete,> 90% Slab,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,3,,3,,2,,0,,57300,,4875,,85600,,23425,,0,,0,,0,,0,,0,,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,0,,,Exclude,,Exclude,4704.4,,61.6,,,Exclude,4875,,57300,,23425,,85600,,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,7346,,,N/A,367300.1,,,N/A,,N/A,,N/A,25064.6,,,N/A,1253228,,,N/A,,N/A,,N/A
BLDG_00026,Apartment Building (4 to 6 floors),Puget Sound,"Snohomish, WA",EVERETT,WA,98201,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,2/21/2017 0:00,,1912,,5,,No,1,,40,,0,,0,,0,,0,,40,,No,Yes,Solid masonry,Masonry,Other,Yes,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,Yes,1,,N/A,NA,NA,NA,NA,,NA,4,,1,,0,,0,,20400,,3300,,40500,,8400,,0,,6200,,0,,2200,,0,,4356,,0.0446,,194.5,,13200,,0.1491,,1967.5,,4356,,0.0683,,297.4,,8249.1,,91,,6100.8,,3300,,20400,,16800,,40500,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
BLDG_00027,Apartment Building (3 or fewer floors),Puget Sound,"Snohomish, WA",ARLINGTON,WA,98267,,1,,1,,Snohomish PUD,,Y,SnoPUD,2183,,77.97,,7/20/2017 0:00,,2001,,3,,No,1,,0,,50,,50,,0,,0,,100,,Yes,No,Frame over concrete slab,Wood,> 90% Slab,No,Yes,Yes,No,No,No,NA,33000,,85,,100,,Parking area approximated using google maps,Yes,1,,N/A,NA,NA,NA,NA,,NA,3,,0,,0,,0,,75000,,30000,,105000,,,NA,,NA,,NA,,NA,,NA,,NA,35000,,0.0253,,885,,51300,,0.0533,,2735.3,,35000,,0.033,,1153.4,,5364.6,,23.7,,7141.7,,30000,,75000,,0,,105000,,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
